"","5.0000","vgl. GR, p. [14]-[17]","","Commune unius sancti a Pascha usque ad Pentecosten","In nativitate unius sancti a pasca usque pentecostes ubi proprius non assignatur","94r-96r","Proprium","","95","5105",""
"","5.0000","vgl. GR, p. [17]-[19]","","Commune plurimorum martyrum a Pascha usque ad Pentecosten","In nativitate plurimorum martirum a pascha usque pentecostes ubi alius spetaliter non assignatur","96r-98r","Proprium","","96","5106",""
"","5.0000","vgl. GR, p. [21]-[29]","","Commune plurimorum martyrum","In nativitate pl.orum martirum","98r-131r","Proprium","","97","5107",""
"","5.0000","vgl. GR, p. [29]-[34]","","Commune unius confessoris pontificis","In nativitate unius confessoris pontificis","131r-147v","Proprium","","98","5108",""
"","5.0000","vgl. GR, p. [38]-[45]","","Commune unius confessoris non pontificis","In nativitate unius confessoris non pontificis","148r-151r","Proprium","","99","5109",""
"","5.0000","vgl. GR, p. [45]-[65]","","Commune virginum","In nativitate virginum","151r-170v","Proprium","","100","5110",""
"","5.0000","vgl. GR, p. [65]-[68]","","In dedicatione ecclesiae","In dedicatione ecclesie","170v-174r","Proprium","","101","5111",""
"","5.0000","vgl. GR, p. 81*-90*","","Officium pro defunctis","In agenda defunctorum","174r-178v","Proprium","","102","5112",""
"Nur Verweise","5.0000","vgl. GR, p. [79]-[80]","","Commemoratio S. Crucis","In commemoratione sancte crucis","178v","Proprium","","103","5113",""
"Nur Verweise","5.0000","vgl. GR, p. [86]-[88]","","Commemoratio BMV a Nativitate usque ad Purificationem","In commemoratione beate marie virginis. a nativitate domini usque ad purificationem","178v-179r","Proprium","","104","5114",""
"Nur Verweise","5.0000","vgl. GR, p. [88]","","Commemoratio BMV a Purificatione usque ad Pascham","A purificatione usque ad pascha","179r","Proprium","","105","5115",""
"","5.0000","vgl. GR, p. [89]","","Commemoratio BMV a Pascha usque ad Pentecosten","A pascha usque pentecosten","179r","Proprium","","106","5116",""
"","5.0000","vgl. GR, p. 7*-10*","","In maioribus duplicibus","In maioribus dupplicibus","180r-183v","Ordinarium","","107","5200",""
"","5.0000","vgl. GR, p. 14*-17*","","In minoribus duplicibus","In minoribus dupplicibus","183v-187r","Ordinarium","","108","5201",""
"","5.0000","vgl. GR, p. 20*-23*","","In maioribus semiduplicibus","In maioribus semidupplicibus","187r-191r","Ordinarium","","109","5202",""
"","5.0000","vgl. GR, p. 44*?","","In minoribus semiduplicibus","In minoribus semiduplicibus","191r-194r","Ordinarium","","110","5203",""
"","5.0000","vgl. GR, p. 35*-38*","","In Dominicis diebus","In dominicis diebus","194r-196r","Ordinarium","","111","5204",""
"","5.0000","vgl. GR, p. 38*-41*","","[alter in Dominicis diebus?]","","196r-199r","Ordinarium","","112","5205",""
"","5.0000","vgl. GR, p. 47*-50*","","In minoribus semiduplicibus","In minoribus semiduplicibus","199v-202v","Ordinarium","","113","5206",""
"","5.0000","vgl. GR, p. 29*-32*","","In festis BMV","","202v-205v","Ordinarium","","114","5207",""
"","5.0000","vgl. GR, p. 81*-91*","","Pro defunctis","pro mortuis","205v-207r","Ordinarium","","115","5208",""
"","5.0000","vgl. GR, p. [35]","","Commune Doctorum","","208r","Proprium","","116","5209",""
"","5.0000","","","Index der Feste mit Folio-Angabe nach Kalenderdatum beginnend mit dem 1. Januar","Index","209r-218v","","","117","5300",""
"","5.0000","","","Index der Gesänge für Votivmessen mit Folio-Angabe","Pro Missis Votivis","219-219v","","","118","5301",""
